ID_REF,FC,Gene Symbol
227373_at,0.23064786255208247,ATXN1L
226865_at,0.23060807459374644,PLXDC2
215646_s_at,0.23042066793749783,VCAN
222945_x_at,0.2302599103749996,OLAH
224725_at,0.23024318747916706,MIB1
211397_x_at,0.22981580792708378,KIR2DL2
216317_x_at,0.22977910710416705,RHCE /// RHD
1558460_at,0.22964772302083558,ABCC5
205442_at,0.22958199168750149,LOC101928198 /// MFAP3L
219403_s_at,0.22956042332291382,HPSE
208924_at,0.22929107340625166,RNF11
1553829_at,0.22907387109375232,CYP1B1-AS1
238403_at,0.2289881417708326,
228287_at,0.22845915209374912,ING5
222642_s_at,0.2282821800416608,TMEM33
229391_s_at,0.228183481427088,FAM26F
201042_at,0.22817324847916964,TGM2
210187_at,0.22808221760416902,FKBP1A /// LOC101929368
225142_at,0.22793205998958221,KDM7A
222817_at,0.22788317713541595,HSD3B7
232277_at,0.22780938032291687,SLC28A3
227341_at,0.22774656064583265,BEND7
202468_s_at,0.22770721089582935,CTNNAL1
214329_x_at,0.22764105778124843,TNFSF10
219316_s_at,0.2276249599583311,FLVCR2
225796_at,0.22748986178125463,PXK
225612_s_at,0.22732812852083306,B3GNT5
200665_s_at,0.22732245481250146,SPARC
213355_at,0.22731296564582948,ST3GAL6
1559067_a_at,0.22708745338541902,LOC158402 /// RP11-4O1.2
226050_at,0.2270729430625016,TMCO3
235549_at,0.22707144398958157,RNF144B
210001_s_at,0.22689303057291976,SOCS1
225830_at,0.22688215007292367,PDZD8
1554503_a_at,0.22640449219791847,OSCAR
1556151_at,0.22628709222916576,ITFG1
216667_at,0.22615505471875075,ECRP
223596_at,0.225705772302085,SLC12A6
222444_at,0.22562371363541622,ARMCX3
218092_s_at,0.22557132480208075,AGFG1
218718_at,0.22530402433333307,PDGFC
218055_s_at,0.22507242880208,WDR41
211560_s_at,0.22502061114583505,ALAS2
225872_at,0.224938939552084,SLC35F5
227957_at,0.22487218090625127,GSN
225283_at,0.22444766498958835,ARRDC4
209459_s_at,0.2243003578958298,ABAT
227856_at,0.22389236710416593,C4orf32
240013_at,0.22363882904166577,
229569_at,0.22360195347917067,RP1-193H18.2
203184_at,0.22351563539583452,FBN2
238045_at,0.22340799110416665,TMEM65
218345_at,0.22336136174999854,TMEM176A
244652_at,0.22303881962500238,CD101
243115_at,0.2228429430000003,
1558796_a_at,0.22281344473958375,LOC102723918
229071_at,0.22268920927083258,C17orf100
212158_at,0.22242151941666943,SDC2
225330_at,0.22221735313541657,IGF1R
236704_at,0.22192947293750098,LOC101929787
1560865_a_at,0.22172668460416656,
205654_at,0.22172604737500112,C4BPA
209460_at,0.2216621815833335,ABAT
225959_s_at,0.2216156544479171,ZNRF1
204787_at,0.22145019625000106,VSIG4
209906_at,0.22139388955207728,C3AR1
210890_x_at,0.22134941337499647,KIR2DL1
221245_s_at,0.2211773674270825,FZD5
218323_at,0.22101156181250126,RHOT1
203507_at,0.22080098624999778,CD68 /// LOC101928634 /// SNORA67
204141_at,0.22065581194791495,TUBB2A
1555888_at,0.22026444805208456,KB-431C1.4
212989_at,0.2202402823229166,SGMS1
244338_at,0.21977667197916517,
232969_at,0.21953545288541676,CARD8
202006_at,0.2195156937604139,PTPN12
208416_s_at,0.2194381952812483,SPTB
239012_at,0.21942814656249965,RNF144B
221156_x_at,0.219288323083334,CCPG1
1559835_at,0.21912959647916885,LINC01410
236213_at,0.21909579446874972,AC079305.10
220137_at,0.21902037197916435,LOC101928274 /// VSIG10
202007_at,0.21879147829166623,NID1
221485_at,0.21874985060416385,B4GALT5
223253_at,0.2187268448125015,EPDR1
205227_at,0.21857544558333153,IL1RAP
226806_s_at,0.21847810522916777,NFIA
1559315_s_at,0.21826394673958438,SOCS2-AS1
223168_at,0.2182008104895834,RHOU
225411_at,0.21809369294791292,TMEM87B
1554411_at,0.2178809739583354,CTNNB1
239825_at,0.21743171928125093,
222881_at,0.21727610778124884,HPSE
229865_at,0.21720438652083196,FNDC3B /// LOC101928615
228624_at,0.2170598046041663,TMEM144
222071_s_at,0.21703371777083458,SLCO4C1
215240_at,0.21703021334375006,ITGB3
226141_at,0.2168560889479174,CCDC149
225351_at,0.2166318566875045,FAM45A /// FAM45B
221763_at,0.21661156765624945,JMJD1C
227497_at,0.2165933836250007,SOX6
211687_x_at,0.2165108961354152,KIR3DL1
230175_s_at,0.21649728595833473,
209500_x_at,0.21647702954167514,TNFSF12-TNFSF13 /// TNFSF13
235516_at,0.21645235085416736,SEPSECS
241981_at,0.21638297841666754,FAM20A
205883_at,0.2161861354479182,ZBTB16
221030_s_at,0.2158701921874986,ARHGAP24
204069_at,0.21581905836458226,MEIS1
203116_s_at,0.2156768657083381,FECH
214606_at,0.21518547151041645,TSPAN2
219686_at,0.21513598610416285,STK32B
206155_at,0.21496005502083193,ABCC2
220184_at,0.21470234373958252,NANOG
201940_at,0.21464947380208166,CPD
231662_at,0.2143018978229172,ARG1
1565978_a_at,0.21427938576041772,
205389_s_at,0.21407585683333252,ANK1
230102_at,0.21400707644791606,ETV5
203115_at,0.21397619635416376,FECH
231644_at,0.21386368809374368,
220336_s_at,0.21379863926041676,GP6
206647_at,0.21371691113541846,HBZ
204714_s_at,0.21341267201041703,F5
218871_x_at,0.2133572313437444,CSGALNACT2
201334_s_at,0.21319260713541333,ARHGEF12
239574_at,0.2130641761874994,
226921_at,0.2130118564791612,UBR1
219975_x_at,0.21298185902083278,OLAH
232599_at,0.212976361479166,EXOC6
209185_s_at,0.2127104570625029,IRS2
235217_at,0.21261785780208164,LINC01004
212698_s_at,0.21239310976041814,SEPT10
212148_at,0.21221636228125007,PBX1
1555643_s_at,0.21204439988541957,LILRA5
213003_s_at,0.21198510173958596,SPIDR
218761_at,0.2119844825937527,RNF111
225512_at,0.21165295621874858,ZBTB38
206090_s_at,0.21156512322916932,DISC1 /// TSNAX-DISC1
215838_at,0.21154746799999824,LILRA5
225922_at,0.21139705511458384,FNIP2
205819_at,0.2112389278437501,MARCO
235844_at,0.21114292477083474,PHTF1
226752_at,0.21102658348958148,FAM174A
211014_s_at,0.21093654254166783,PML
220570_at,0.21088586663541786,RETN
242818_x_at,0.2107099753124997,YIPF4
209717_at,0.21070709986458347,EVI5
242852_at,0.2106444094791673,LOC285147
244461_at,0.2106411314270824,SPECC1
223952_x_at,0.21054696779166626,DHRS9
244660_at,0.21053460243750077,ELAVL1
231769_at,0.21042084426041363,FBXO6
228858_at,0.2103677595729181,
213075_at,0.21025168271875128,OLFML2A
231170_at,0.21024445297916472,
204646_at,0.21018982064582836,DPYD
207206_s_at,0.21017212158333543,ALOX12
223320_s_at,0.21016337336458157,ABCB10
212816_s_at,0.20996848736458507,CBS
223669_at,0.209844832802081,HEMGN
223095_at,0.20982040533333013,MARVELD1
210314_x_at,0.20973734983333436,TNFSF13
1557113_at,0.2094457965729184,LOC283588
228104_at,0.20942489864583358,PLXNA4
235276_at,0.20918215320833067,EPSTI1
225834_at,0.2090388012187514,FAM72A /// FAM72B /// FAM72C /// FAM72D
229778_at,0.20894637116666726,SPX
223511_at,0.20854278773958157,SPRTN
231736_x_at,0.208474322864582,MGST1
236313_at,0.20842418677083163,CDKN2B
1568830_at,0.2083770128333331,IRAK3
201876_at,0.20807193810416447,PON2
242809_at,0.2080518019270854,IL1RL1
212820_at,0.20799507241666682,DMXL2
203474_at,0.2079542128854186,IQGAP2
215248_at,0.20786428847916572,GRB10
202838_at,0.20785616753124891,FUCA1
228273_at,0.2078114061979166,PRR11
206343_s_at,0.2077100518958339,NRG1
238002_at,0.20762618283333456,GOLIM4
