ID_REF,FC,Gene Symbol
234009_at,0.3026694027812491,
207085_x_at,0.30248118265624946,CSF2RA
207704_s_at,0.3023941646562518,GAS7
214122_at,0.3022082812812483,PDLIM7
205627_at,0.3018911278437493,CDA
221957_at,0.3016610240937494,PDK3
209806_at,0.3016430861875019,HIST1H2BK
220930_s_at,0.3016346058437489,SMIM2
231672_at,0.3014603377500018,LOC100653086
231426_at,0.30126036484375085,
1569095_at,0.30120491912500214,LOC731424
223549_s_at,0.30032367806249916,ESPN
228808_s_at,0.3000131688437504,LOXL2
1562059_at,0.2998114669062488,
215248_at,0.299574696625001,GRB10
229743_at,0.29955719156249927,ZNF438
239574_at,0.2995086467812511,
235286_at,0.2994026077187497,
204007_at,0.29936658281249784,FCGR3B
209919_x_at,0.2990687795625,GGT1 /// GGT2 /// GGTLC1 /// GGTLC2
237350_at,0.29875614568749853,TTC36
211067_s_at,0.29874684187499767,GAS7
203390_s_at,0.29867521278125153,KIF3C
207002_s_at,0.2986311190937512,PLAGL1
1568830_at,0.2985463253749998,IRAK3
208501_at,0.2985013709999986,GFI1B
208995_s_at,0.2984012247187513,PPIG
1561654_at,0.29835720871875004,
1556580_a_at,0.2983111164375001,RP11-981G7.6
1563641_a_at,0.2979882753749994,SNX20
205312_at,0.2976866081562495,SPI1
219049_at,0.29747180059374934,CSGALNACT1
1554624_a_at,0.29731283440625234,SIRPB1
1552734_at,0.2972489295312508,RICTOR
205653_at,0.29711780931249887,CTSG
216951_at,0.2970640550624992,FCGR1A
1559514_at,0.2970309576249992,LOC100132077
216243_s_at,0.2970079573750013,IL1RN
207390_s_at,0.29689160906249956,SMTN
243981_at,0.296814020937501,STK4
206254_at,0.2966502177187511,EGF
205314_x_at,0.2960247019375011,SNTB2
1564936_at,0.29596946140625047,RP11-182J23.1
201039_s_at,0.2957504063437497,RAD23A
211728_s_at,0.2957094995937499,HYAL3
227922_x_at,0.29570039500000256,LOC441124
205367_at,0.2956987007187504,SH2B2
239962_at,0.29551423518750086,
232891_at,0.2954273744374989,SIRPD
213438_at,0.2953821173749991,NFASC
204467_s_at,0.2952402714687494,SNCA
211372_s_at,0.29520789409374615,IL1R2
208335_s_at,0.2950507837500025,ACKR1
1569270_at,0.29500988796875127,LOC100134368
216789_at,0.29489659224999976,
225388_at,0.29487225640624626,TSPAN5
219259_at,0.2946836769687522,SEMA4A
204308_s_at,0.2943836055625013,TECPR2
221063_x_at,0.29416877206249925,RNF123
205118_at,0.2940502561250007,FPR1
1565888_at,0.29389865625000056,
1560372_at,0.29385356768749915,
205553_s_at,0.2937145739687499,CSRP3
1553222_at,0.2936869633125001,OXER1
215197_at,0.2935957416249999,
208168_s_at,0.2935230344374977,CHIT1
208161_s_at,0.29333388909375024,ABCC3
228775_at,0.2931546629687496,EMC3
1553133_at,0.29313224659375026,C9orf72
213898_at,0.2930280589375003,RBFOX2
236528_at,0.2930227234062528,
226047_at,0.2930176261250015,MRVI1
1554385_a_at,0.2930048829375007,PADI2
208107_s_at,0.2928434814687506,LOC81691
206963_s_at,0.29281514543749854,NAT8 /// NAT8B
232078_at,0.292733675937499,PVRL2
1569600_at,0.29256529993750036,DLEU2
202896_s_at,0.29248391562500053,SIRPA
223660_at,0.2923049960625006,ADORA3
225016_at,0.292301717156251,APCDD1
207759_s_at,0.2920571904062488,DISC1 /// TSNAX-DISC1
206629_at,0.29197482996875035,ADAMTSL2
203421_at,0.29195409815624895,TP53I11
206302_s_at,0.291952089999997,NUDT4 /// NUDT4P1 /// NUDT4P2
235099_at,0.2918920021562492,CMTM8
217472_at,0.2918565126874979,
237387_at,0.2913394252187498,
227473_at,0.2912593546562494,
204668_at,0.2911225818750012,RNF24
209616_s_at,0.2910656009999979,CES1 /// LOC100653057
219444_at,0.29086255159374996,BCORL1
208297_s_at,0.29077872153125117,EVI5
204501_at,0.290733282656249,NOV
236702_at,0.2907233980937498,RTFDC1
242571_at,0.2905844757187488,REPS2
210582_s_at,0.2903459261874968,LIMK2
212183_at,0.29026980928124946,NUDT4 /// NUDT4P1
238678_at,0.2902424224374993,LINC01000
1552335_at,0.2900786944375007,CATSPER1
223703_at,0.2900599127812482,C10orf11
240326_at,0.29000415334374985,
233504_at,0.28990289109375045,C9orf84
203814_s_at,0.28983772018750287,NQO2
209087_x_at,0.2898104528125005,MCAM
1561699_a_at,0.2897746324687498,ATP11A-AS1
207550_at,0.2897382363749994,MPL
232727_at,0.2894504255624999,UCKL1
